StopID;DIVA;StopText;Municipality;MunicipalityID;Longitude;Latitude
2;60201421;Venediger Au;Wien;49000001;16.3965357;48.2179090
3;60201892;Messe Prater;Wien;49000001;16.4066327;48.2179449
4;60201009;Perspektivstraße;Wien;49000001;16.4013057;48.2179689
5;60200195;Börse;Wien;49000001;16.3648611;48.2157841
7;60201848;Lassallestraße;Wien;49000001;16.3937688;48.2195490
8;60201349;Hauptbahnhof S U;Wien;49000001;16.3749761;48.1859187
9;60200619;Julius-Raab-Platz;Wien;49000001;16.3825669;48.2103428
10;60200245;Stubentor U;Wien;49000001;16.3798899;48.2067269
11;60201460;Weihburggasse;Wien;49000001;16.3777519;48.2046076
12;60201193;Schwarzenbergplatz;Wien;49000001;16.3746168;48.2018176
13;60200975;Oper, Karlsplatz U;Wien;49000001;16.3700893;48.2023325
14;60200190;Burgring;Wien;49000001;16.3640885;48.2038113
15;60200246;Ring, Volkstheater U;Wien;49000001;16.3600371;48.2068287
16;60200994;Parlament;Wien;49000001;16.3601090;48.2082715
17;60200192;Rathausplatz, Burgtheater;Wien;49000001;16.3606929;48.2102530
18;60201184;Schottentor U;Wien;49000001;16.3621481;48.2137250
19;60200195;Börse;Wien;49000001;16.3661277;48.2155567
20;60201182;Schottenring U;Wien;49000001;16.3712032;48.2165922
21;60201145;Salztorbrücke;Wien;49000001;16.3737544;48.2141500
22;60201198;Schwedenplatz U;Wien;49000001;16.3778597;48.2115760
23;60200619;Julius-Raab-Platz;Wien;49000001;16.3833394;48.2111869
26;;Praterstern S U;;;0;0
27;60201421;Venediger Au;Wien;49000001;16.3973082;48.2179809
28;60201009;Perspektivstraße;Wien;49000001;16.4007757;48.2178611
29;60201892;Messe Prater;Wien;49000001;16.4066327;48.2178671
30;60200274;Elderschplatz;Wien;49000001;16.4118429;48.2178971
31;60200196;Bösendorferstraße, Karlsplatz U;Wien;49000001;16.3705564;48.2012607
33;60200246;Ring, Volkstheater U;Wien;49000001;16.3596149;48.2067449
36;60201468;Westbahnhof S U;Wien;49000001;16.3392411;48.1964526
37;60201575;Schemmerlstraße;Wien;49000001;16.4233504;48.1574201
39;60201349;Hauptbahnhof S U;Wien;49000001;16.3753085;48.1860325
40;60200989;Karl-Popper-Straße;Wien;49000001;16.3791173;48.1874100
41;60200619;Julius-Raab-Platz;Wien;49000001;16.3833484;48.2112707
42;60201198;Schwedenplatz U;Wien;49000001;16.3778237;48.2117137
43;60201145;Salztorbrücke;Wien;49000001;16.3742125;48.2138447
44;60201182;Schottenring U;Wien;49000001;16.3709067;48.2170292
45;60200195;Börse;Wien;49000001;16.3660199;48.2156465
46;60201184;Schottentor U;Wien;49000001;16.3618068;48.2137310
47;60200192;Rathausplatz, Burgtheater;Wien;49000001;16.3605941;48.2106302
48;60200994;Parlament;Wien;49000001;16.3600641;48.2089600
49;60200246;Ring, Volkstheater U;Wien;49000001;16.3599113;48.2067090
50;60200190;Burgring;Wien;49000001;16.3634238;48.2040448
51;60200975;Oper, Karlsplatz U;Wien;49000001;16.3686879;48.2024343
52;60201193;Schwarzenbergplatz;Wien;49000001;16.3746886;48.2016858
53;60201460;Weihburggasse;Wien;49000001;16.3776082;48.2043202
54;60200245;Stubentor U;Wien;49000001;16.3803031;48.2068886
55;60200619;Julius-Raab-Platz;Wien;49000001;16.3827824;48.2106242
56;60200544;Hoher Markt;Wien;49000001;16.3718949;48.2113964
57;60200905;Hauptbahnhof Ost;Wien;49000001;16.3805995;48.1845112
58;60200905;Hauptbahnhof Ost;Wien;49000001;16.3804917;48.1845232
59;60201205;Schüttaustraße;Wien;49000001;16.4171520;48.2309078
60;60201205;Schüttaustraße;Wien;49000001;16.4170711;48.2308540
61;;Gänsehäufel;;;0;0
62;60201204;Schüttauplatz;Wien;49000001;16.4230539;48.2265334
63;60201209;Schödlbergergasse;Wien;49000001;16.4208351;48.2281970
64;60200411;Goethehof;Wien;49000001;16.4191103;48.2295494
65;60200641;Kaisermühlen-VIC U;Wien;49000001;16.4157596;48.2327090
66;;Kaisermühlen-VIC U;;;0;0
67;60201634;Seidelbastgasse;Wien;49000001;16.4712396;48.2142937
68;60201633;Stavangergasse;Wien;49000001;16.4759916;48.2130366
69;60201507;Haßlwanderweg;Wien;49000001;16.4789920;48.2125937
70;;Neue Donau Mitte;;;0;0
71;60201016;Alfred-Adler-Straße;Wien;49000001;16.3808690;48.1829060
72;60200641;Kaisermühlen-VIC U;Wien;49000001;16.4155350;48.2328406
73;60200411;Goethehof;Wien;49000001;16.4190025;48.2294178
74;60201209;Schödlbergergasse;Wien;49000001;16.4207273;48.2281551
75;;Schüttauplatz;;;0;0
76;60200883;Mauthausgasse;Wien;49000001;16.3456910;48.1879310
77;60202951;Haus des Meeres;Wien;49000001;16.3548269;48.1979496
78;;Siebenhirten;;;0;0
79;60201182;Schottenring U;Wien;49000001;16.3716793;48.2163827
81;60201193;Schwarzenbergplatz;Wien;49000001;16.3747425;48.2010931
83;60200260;Strebersdorf, Meriangasse;Wien;49000001;16.3865823;48.2913817
88;60200116;Beethovengang;Wien;49000001;16.3627770;48.2597722
89;60200457;Habsburgergasse;Wien;49000001;16.3680052;48.2075172
90;60200116;Beethovengang;Wien;49000001;16.3627051;48.2595210
91;60200948;Nußdorf S;Wien;49000001;16.3668374;48.2601311
92;60201231;Sickenberggasse;Wien;49000001;16.3670799;48.2581455
93;60200428;Grinzinger Straße;Wien;49000001;16.3651845;48.2544732
94;60200468;Halteraugasse;Wien;49000001;16.3639538;48.2521943
95;60200301;Heiligenstadt, 12.-Februar-Platz;Wien;49000001;16.3627680;48.2491556
96;60200439;Gunoldstraße;Wien;49000001;16.3616541;48.2448904
97;60201068;Rampengasse;Wien;49000001;16.3606929;48.2412351
98;60201062;Spittelau S U;Wien;49000001;16.3567672;48.2359939
99;60200786;Liechtenwerder Platz;Wien;49000001;16.3565067;48.2325773
100;60200099;Augasse;Wien;49000001;16.3573242;48.2299923
101;60200345;Franz-Josefs-Bahnhof S;Wien;49000001;16.3611600;48.2257434
102;60200112;Bauernfeldplatz;Wien;49000001;16.3607019;48.2210992
103;60201169;Schlickgasse;Wien;49000001;16.3642772;48.2186931
104;60200099;Augasse  (Schleife);Wien;49000001;16.3569918;48.2298546
105;60201193;Schwarzenbergplatz;Wien;49000001;16.3746707;48.2006261
106;60200446;Gußhausstraße;Wien;49000001;16.3754791;48.1971412
107;60201025;Plößlgasse;Wien;49000001;16.3769344;48.1947161
108;60201173;Schloss Belvedere;Wien;49000001;16.3789556;48.1920992
109;60201346;Quartier Belvedere S;Wien;49000001;16.3813901;48.1876435
111;60201346;Quartier Belvedere S;Wien;49000001;16.3815158;48.1877034
112;60201173;Schloss Belvedere;Wien;49000001;16.3793329;48.1917219
113;60201025;Plößlgasse;Wien;49000001;16.3773476;48.1943568
114;60200446;Gußhausstraße;Wien;49000001;16.3751198;48.1981711
115;60200371;Seegasse;Wien;49000001;16.3614295;48.2228588
116;60201169;Schlickgasse;Wien;49000001;16.3643939;48.2187470
117;60200112;Bauernfeldplatz;Wien;49000001;16.3608905;48.2206802
118;60200345;Franz-Josefs-Bahnhof S;Wien;49000001;16.3611331;48.2257913
119;60200099;Augasse;Wien;49000001;16.3574410;48.2299623
120;60200786;Liechtenwerder Platz;Wien;49000001;16.3566684;48.2325175
121;60201062;Spittelau S U;Wien;49000001;16.3568930;48.2359820
122;60201068;Rampengasse;Wien;49000001;16.3604413;48.2406847
123;60200439;Gunoldstraße;Wien;49000001;16.3617529;48.2444417
124;60200301;Heiligenstadt, 12.-Februar-Platz;Wien;49000001;16.3626961;48.2487309
125;60200468;Halteraugasse;Wien;49000001;16.3638639;48.2516679
126;60200428;Grinzinger Straße;Wien;49000001;16.3653282;48.2544791
127;60201231;Sickenberggasse;Wien;49000001;16.3670080;48.2578644
128;60200948;Nußdorf S;Wien;49000001;16.3673763;48.2598500
130;60200371;Seegasse;Wien;49000001;16.3613666;48.2230982
131;60200467;Eckpergasse;Wien;49000001;16.3165946;48.2333731
132;60200527;Hintere Zollamtsstraße;Wien;49000001;16.3865374;48.2111510
133;60200419;Gredlerstraße;Wien;49000001;16.3795126;48.2138866
134;60201198;Schwedenplatz U;Wien;49000001;16.3777339;48.2117975
135;60200034;Althanstraße;Wien;49000001;16.3597496;48.2287416
136;60200034;Althanstraße;Wien;49000001;16.3592286;48.2289570
137;60200520;Hietzing U;Wien;49000001;16.3039732;48.1884041
138;60201561;Cumberlandstraße;Wien;49000001;16.3019161;48.1918357
139;60200055;Ameisgasse;Wien;49000001;16.2996703;48.1943927
140;60200780;Leyserstraße;Wien;49000001;16.3025449;48.1983807
141;60200502;Herbeckstraße;Wien;49000001;16.3170258;48.2324517
142;60200026;Alsegger Straße;Wien;49000001;16.3241404;48.2316857
143;60200393;Gersthof S;Wien;49000001;16.3289644;48.2315481
144;60201461;Weinhauser Gasse;Wien;49000001;16.3317581;48.2300401
145;60200101;Aumannplatz;Wien;49000001;16.3363216;48.2284184
146;60200843;Martinstraße;Wien;49000001;16.3417744;48.2266471
147;60201510;Währinger Straße, Volksoper U;Wien;49000001;16.3492933;48.2248218
148;60201288;Spitalgasse;Wien;49000001;16.3530033;48.2224039
149;60201226;Sensengasse;Wien;49000001;16.3555455;48.2207042
150;60201197;Schwarzspanierstraße;Wien;49000001;16.3590490;48.2173404
151;60200889;Montleartstraße;Wien;49000001;16.3021497;48.2024702
152;60200187;Burgersteingasse;Wien;49000001;16.2978917;48.2026318
153;60200156;Breitenseer Straße, Braillegasse;Wien;49000001;16.2950709;48.2027755
154;60200156;Breitenseer Straße, Braillegasse;Wien;49000001;16.2950530;48.2026378
155;60200187;Burgersteingasse;Wien;49000001;16.2979905;48.2025181
156;60200889;Montleartstraße;Wien;49000001;16.3021766;48.2023564
157;60200780;Leyserstraße;Wien;49000001;16.3022215;48.1978179
158;60200055;Ameisgasse;Wien;49000001;16.2995176;48.1947221
159;60201561;Cumberlandstraße;Wien;49000001;16.3017364;48.1923088
160;60201210;Schöffelgasse;Wien;49000001;16.3260269;48.2316558
161;60200743;Landstraße, Wien Mitte S U;Wien;49000001;16.3854235;48.2055655
162;60200845;Marxergasse;Wien;49000001;16.3865554;48.2071760
163;60200527;Hintere Zollamtsstraße;Wien;49000001;16.3870315;48.2108636
164;60201063;Radetzkyplatz;Wien;49000001;16.3895378;48.2109774
165;60200513;Hetzgasse;Wien;49000001;16.3927627;48.2085768
166;60201071;Löwengasse;Wien;49000001;16.3945773;48.2058828
167;60201497;Wittelsbachstraße;Wien;49000001;16.3994013;48.2061163
168;60200486;Prater Hauptallee;Wien;49000001;16.4052763;48.2088821
169;60200486;Prater Hauptallee;Wien;49000001;16.4062554;48.2091695
170;60201497;Wittelsbachstraße;Wien;49000001;16.3993923;48.2061702
171;60201071;Löwengasse;Wien;49000001;16.3954487;48.2057571
172;60200513;Hetzgasse;Wien;49000001;16.3931490;48.2082236
173;60201063;Radetzkyplatz;Wien;49000001;16.3906517;48.2104027
174;60200527;Hintere Zollamtsstraße;Wien;49000001;16.3874717;48.2111510
175;60200845;Marxergasse;Wien;49000001;16.3865644;48.2079183
176;60200743;Landstraße, Wien Mitte S U;Wien;49000001;16.3856571;48.2059906
177;60200732;Kutschkergasse;Wien;49000001;16.3449813;48.2261204
178;60200054;Ameisbachzeile, Hanuschkrankenhaus;Wien;49000001;16.2921514;48.2014463
179;60200764;Lebingergasse;Wien;49000001;16.2901122;48.2040328
180;60200339;Flötzersteigbrücke;Wien;49000001;16.2906692;48.2066551
181;60200846;Matschgasse;Wien;49000001;16.2908129;48.2087085
182;60200983;Ottakringer Bad;Wien;49000001;16.2890971;48.2113066
183;60200846;Matschgasse;Wien;49000001;16.2907051;48.2087445
184;60200339;Flötzersteigbrücke;Wien;49000001;16.2905884;48.2067389
185;60200764;Lebingergasse;Wien;49000001;16.2898966;48.2040688
186;60200054;Ameisbachzeile, Hanuschkrankenhaus;Wien;49000001;16.2921335;48.2012068
187;60200732;Kutschkergasse;Wien;49000001;16.3446040;48.2262042
188;60201288;Spitalgasse;Wien;49000001;16.3536770;48.2220628
189;60201510;Währinger Straße, Volksoper U;Wien;49000001;16.3493831;48.2248637
190;60200843;Martinstraße;Wien;49000001;16.3427715;48.2265992
191;60200101;Aumannplatz;Wien;49000001;16.3368336;48.2279876
192;60201461;Weinhauser Gasse;Wien;49000001;16.3318210;48.2301299
193;60200393;Gersthof S;Wien;49000001;16.3289554;48.2317276
194;60200026;Alsegger Straße;Wien;49000001;16.3247064;48.2316917
195;60200502;Herbeckstraße;Wien;49000001;16.3182475;48.2324517
196;60200438;Guneschgasse;Wien;49000001;16.3535064;48.2362512
197;60200135;Döblinger Hauptstraße, Gatterburggasse;Wien;49000001;16.3546472;48.2387223
198;60201030;Pokornygasse;Wien;49000001;16.3554647;48.2408641
199;60200109;Barawitzkagasse;Wien;49000001;16.3556354;48.2442682
200;60201008;Perntergasse;Wien;49000001;16.3551862;48.2487189
201;60200540;Hohe Warte;Wien;49000001;16.3555725;48.2510159
202;60201008;Perntergasse;Wien;49000001;16.3549796;48.2493889
203;60200109;Barawitzkagasse;Wien;49000001;16.3557162;48.2448844
204;60201030;Pokornygasse;Wien;49000001;16.3554737;48.2414026
205;60200135;Döblinger Hauptstraße, Gatterburggasse;Wien;49000001;16.3546472;48.2390932
206;60200438;Guneschgasse;Wien;49000001;16.3535872;48.2368196
207;60200405;Glatzgasse;Wien;49000001;16.3528506;48.2339236
208;60200950;Nußdorfer Straße U;Wien;49000001;16.3536860;48.2323918
209;60200202;Canisiusgasse;Wien;49000001;16.3547460;48.2282628
210;60200029;Nußdorfer Straße / Alserbachstraße;Wien;49000001;16.3546921;48.2251689
211;60201288;Spitalgasse;Wien;49000001;16.3533536;48.2225715
212;60200252;Döblinger Bad;Wien;49000001;16.3569649;48.2512013
